time,gFx,gFy,gFz,TgF
4.627000,-0.0536,0.9621,0.2446,0.994
4.634000,-0.0523,0.9617,0.2419,0.993
4.645000,-0.0486,0.9616,0.2398,0.992
4.669000,-0.0437,0.9615,0.2395,0.992
4.671000,-0.0397,0.9611,0.2404,0.992
4.685000,-0.0391,0.9604,0.2397,0.991
4.688000,-0.0406,0.9599,0.2372,0.990
4.696000,-0.0429,0.9601,0.2350,0.989
4.705000,-0.0447,0.9595,0.2333,0.988
4.714000,-0.0470,0.9591,0.2327,0.988
4.727000,-0.0486,0.9589,0.2326,0.988
4.734000,-0.0493,0.9593,0.2334,0.988
4.744000,-0.0479,0.9602,0.2354,0.990
4.758000,-0.0470,0.9607,0.2389,0.991
4.764000,-0.0463,0.9598,0.2419,0.991
4.782000,-0.0458,0.9595,0.2425,0.991
4.785000,-0.0453,0.9598,0.2403,0.990
4.795000,-0.0463,0.9595,0.2365,0.989
4.805000,-0.0476,0.9596,0.2340,0.989
4.815000,-0.0493,0.9596,0.2338,0.989
4.825000,-0.0492,0.9598,0.2337,0.989
4.834000,-0.0480,0.9599,0.2337,0.989
4.844000,-0.0445,0.9609,0.2336,0.990
4.869000,-0.0415,0.9618,0.2338,0.991
4.871000,-0.0408,0.9629,0.2364,0.992
4.874000,-0.0435,0.9643,0.2393,0.994
4.885000,-0.0462,0.9650,0.2424,0.996
4.895000,-0.0462,0.9657,0.2431,0.997
4.910000,-0.0437,0.9665,0.2414,0.997
4.915000,-0.0410,0.9662,0.2376,0.996
4.926000,-0.0393,0.9665,0.2343,0.995
4.935000,-0.0388,0.9665,0.2338,0.995
4.945000,-0.0388,0.9665,0.2358,0.996
4.974000,-0.0392,0.9662,0.2384,0.996
4.976000,-0.0392,0.9664,0.2384,0.996
4.976000,-0.0403,0.9667,0.2398,0.997
4.984000,-0.0418,0.9665,0.2399,0.997
4.995000,-0.0429,0.9664,0.2398,0.997
5.011000,-0.0431,0.9665,0.2397,0.997
5.014000,-0.0439,0.9662,0.2393,0.996
5.026000,-0.0448,0.9651,0.2393,0.995
5.034000,-0.0458,0.9640,0.2402,0.995
5.044000,-0.0458,0.9627,0.2405,0.993
5.072000,-0.0461,0.9611,0.2404,0.992
5.074000,-0.0469,0.9599,0.2397,0.990
5.075000,-0.0480,0.9590,0.2386,0.989
5.085000,-0.0485,0.9583,0.2381,0.989
5.107000,-0.0461,0.9580,0.2364,0.988
5.117000,-0.0437,0.9578,0.2316,0.986
5.118000,-0.0445,0.9587,0.2267,0.986
5.132000,-0.0446,0.9580,0.2249,0.985
5.135000,-0.0439,0.9580,0.2271,0.986
5.144000,-0.0445,0.9590,0.2311,0.987
5.169000,-0.0483,0.9601,0.2369,0.990
5.170000,-0.0523,0.9605,0.2426,0.992
5.174000,-0.0525,0.9607,0.2465,0.993
5.184000,-0.0495,0.9618,0.2455,0.994
5.195000,-0.0478,0.9628,0.2420,0.994
5.205000,-0.0467,0.9635,0.2391,0.994
5.214000,-0.0462,0.9645,0.2388,0.995
5.225000,-0.0464,0.9657,0.2404,0.996
5.235000,-0.0452,0.9671,0.2441,0.998
5.245000,-0.0410,0.9681,0.2471,1.000
5.276000,-0.0374,0.9683,0.2478,1.000
5.278000,-0.0375,0.9681,0.2465,1.000
5.279000,-0.0403,0.9676,0.2454,0.999
5.285000,-0.0430,0.9662,0.2463,0.998
5.305000,-0.0447,0.9648,0.2467,0.997
5.309000,-0.0479,0.9637,0.2454,0.996
5.315000,-0.0531,0.9613,0.2441,0.993
5.326000,-0.0600,0.9595,0.2420,0.991
5.335000,-0.0630,0.9582,0.2430,0.991
5.345000,-0.0600,0.9561,0.2448,0.989
5.382000,-0.0561,0.9552,0.2433,0.987
5.384000,-0.0501,0.9551,0.2378,0.986
5.385000,-0.0435,0.9565,0.2334,0.985
5.386000,-0.0402,0.9584,0.2326,0.987
5.395000,-0.0415,0.9602,0.2348,0.989
5.407000,-0.0446,0.9617,0.2388,0.992
5.415000,-0.0461,0.9626,0.2433,0.994
5.425000,-0.0474,0.9635,0.2436,0.995
5.435000,-0.0453,0.9644,0.2414,0.995
5.444000,-0.0408,0.9651,0.2381,0.995
5.475000,-0.0390,0.9653,0.2370,0.995
5.477000,-0.0387,0.9654,0.2375,0.995
5.478000,-0.0387,0.9654,0.2370,0.995
